Staffel,Thema,Begegnung,Erstellt am,Letzter post am,Posts,Views,Unterschiedliche Autoren,Likes,Wörter,Wähler gesamt

7,Bestes Strategiespiel,Halbfinale,2020-08-08T12:15:54.903Z,2020-08-19T10:57:04.694Z,91,2246,22,252,4336,93,XCOM 2,50,Stellaris,43
7,Bestes Strategiespiel,Halbfinale,2020-08-08T12:15:54.903Z,2020-08-19T10:57:04.694Z,91,2246,22,252,4336,94,Die Siedler 2,37,Civilization 2,57
7,Bestes Strategiespiel,Viertelfinale,2020-07-31T18:45:34.557Z,2020-08-03T11:45:55.077Z,38,719,14,109,2028,18,Stellaris,10,Jagged Alliance 2,8
7,Bestes Strategiespiel,Viertelfinale,2020-07-31T18:22:15.573Z,2020-08-02T14:11:56.609Z,13,543,8,40,593,51,Die Siedler 2,27,Age of Empires 2,24
7,Bestes Strategiespiel,Viertelfinale,2020-07-31T18:36:44.164Z,2020-07-31T18:36:44.287Z,1,353,1,0,20,52,XCOM 2,26,Anno 1800,26
7,Bestes Strategiespiel,Viertelfinale,2020-07-31T18:05:20.124Z,2020-07-31T18:12:57.884Z,4,325,3,1,28,17,Plants vs. Zombies,6,Civilization 2,11
7,Bestes Strategiespiel,Achtelfinale,2020-07-10T07:19:37.678Z,2020-07-29T17:37:32.061Z,129,2170,26,207,4796,88,Jagged Alliance 2,45,Heroes of Might and Magic 3,43
7,Bestes Strategiespiel,Achtelfinale,2020-06-18T04:47:16.874Z,2020-06-26T12:50:57.767Z,139,2105,25,227,6001,83,Total War: Empire,24,Anno 1800,59
7,Bestes Strategiespiel,Achtelfinale,2020-06-04T06:42:15.829Z,2020-06-16T18:52:19.020Z,121,2415,25,322,4728,93,Warcraft 3: The Frozen Throne,40,Civilization 2,53
7,Bestes Strategiespiel,Achtelfinale,2020-05-15T15:40:08.088Z,2020-06-06T15:53:59.922Z,296,3087,30,456,16332,102,Die Siedler 2,60,Starcraft: Brood War,42
7,Bestes Strategiespiel,Achtelfinale,2020-05-28T13:51:01.542Z,2020-06-06T12:39:58.676Z,240,2994,27,586,10777,98,Homeworld,46,Plants vs. Zombies,52
7,Bestes Strategiespiel,Achtelfinale,2020-05-08T06:22:36.365Z,2020-05-15T23:31:35.823Z,232,3014,29,402,17304,87,Age of Empires 2,57,Mount and Blade: Warband,30
7,Bestes Strategiespiel,Achtelfinale,2020-07-03T06:27:27.316Z,2020-11-24T07:46:53.930Z,74,1835,22,164,2516,77,BattleTech,29,XCOM 2,48
7,Bestes Strategiespiel,Achtelfinale,2020-06-26T12:55:31.423Z,2020-07-01T19:05:51.098Z,42,1130,18,81,2331,75,Dawn of War 2,27,Stellaris,48
8,Bester NPC,Finale,2021-04-03T07:40:24.832Z,2021-04-12T15:25:35.272Z,105,1258,19,279,5206,62,Stan (Monkey Island),36,Patches (Dark Souls),26
8,Bester NPC,Halbfinale,2021-04-02T18:22:26.605Z,2021-04-02T20:59:11.038Z,16,266,8,29,534,15,Patches (Dark Souls),8,Der Esel aus Dungeon Siege,7
8,Bester NPC,Halbfinale,2021-04-02T17:42:32.135Z,2021-04-02T18:22:26.608Z,2,208,2,1,36,16,Murray (Monkey Island 3),6,Stan (Monkey Island),10
8,Bester NPC,Viertelfinale,2021-03-12T09:11:27.175Z,2021-03-24T21:08:08.078Z,86,1157,22,222,3672,68,Patches (Dark Souls),38,Repo-man (The Sims),30
8,Bester NPC,Viertelfinale,2021-02-26T07:41:40.719Z,2021-03-09T20:53:54.684Z,173,1856,33,506,6338,76,Boo (Baldurs Gate 2),37,Der Esel aus Dungeon Siege,39
8,Bester NPC,Viertelfinale,2021-02-20T08:09:15.249Z,2021-02-26T08:51:57.772Z,53,876,19,109,2120,70,Garrus (Mass Effect),27,Stan (Monkey Island),43
8,Bester NPC,Viertelfinale,2021-01-23T09:05:06.975Z,2021-02-01T10:47:14.236Z,208,1581,29,567,11740,97,Frida (Skyrim),47,Murray (Monkey Island 3),50
