"Pooyan",1982,"https://www.mobygames.com/game/pooyan",20,62.00
"Popeye",1982,"https://www.mobygames.com/game/popeye",110,66.00
"Q*bert",1982,"https://www.mobygames.com/game/qbert",88,68.00
"Raiders of the Lost Ark",1982,"https://www.mobygames.com/game/raiders-of-the-lost-ark",19,54.00
"River Raid",1982,"https://www.mobygames.com/game/river-raid",99,72.00
"Robotron: 2084",1982,"https://www.mobygames.com/game/robotron-2084",59,72.00
"Sea Dragon",1982,"https://www.mobygames.com/game/sea-dragon",10,76.00
"Shamus",1982,"https://www.mobygames.com/game/shamus",12,72.00
"Smurf: Rescue in Gargamel's Castle",1982,"https://www.mobygames.com/game/smurf-rescue-in-gargamels-castle",33,78.00
"Snack Attack II",1982,"https://www.mobygames.com/game/snack-attack-ii",10,66.00
"Sneak 'n Peek",1982,"https://www.mobygames.com/game/sneak-n-peek",13,32.00
"Soko-Ban",1982,"https://www.mobygames.com/game/soko-ban",25,82.00
"Spider-Man",1982,"https://www.mobygames.com/game/spider-man_",11,70.00
"Starcross",1982,"https://www.mobygames.com/game/starcross",48,66.00
"Star Wars: The Empire Strikes Back",1982,"https://www.mobygames.com/game/star-wars-the-empire-strikes-back_",32,74.00
"Strip Poker: A Sizzling Game of Chance",1982,"https://www.mobygames.com/game/strip-poker-a-sizzling-game-of-chance",34,66.00
"Super Pac-Man",1982,"https://www.mobygames.com/game/super-pac-man",17,80.00
"SwordQuest: EarthWorld",1982,"https://www.mobygames.com/game/swordquest-earthworld",17,28.00
"Telengard",1982,"https://www.mobygames.com/game/telengard",15,68.00
"Time Pilot",1982,"https://www.mobygames.com/game/time-pilot",36,68.00
"Transylvania",1982,"https://www.mobygames.com/game/transylvania",10,76.00
"TRON: Deadly Discs",1982,"https://www.mobygames.com/game/tron-deadly-discs",24,68.00
"Tutankham",1982,"https://www.mobygames.com/game/tutankham",12,70.00
"Ultima II: The Revenge of the Enchantress...",1982,"https://www.mobygames.com/game/ultima-ii-the-revenge-of-the-enchantress",106,78.00
"Wizardry: Knight of Diamonds - The Second Scenario",1982,"https://www.mobygames.com/game/wizardry-knight-of-diamonds-the-second-scenario",65,68.00
"Xevious",1982,"https://www.mobygames.com/game/xevious",69,82.00
"Zaxxon",1982,"https://www.mobygames.com/game/zaxxon",95,78.00
"Zork III: The Dungeon Master",1982,"https://www.mobygames.com/game/zork-iii-the-dungeon-master",102,72.00
"10-Yard Fight",1983,"https://www.mobygames.com/game/10-yard-fight_",42,44.00
"3-Demon",1983,"https://www.mobygames.com/game/3-demon",17,60.00
"The Activision Decathlon",1983,"https://www.mobygames.com/game/activision-decathlon",26,68.00
"Adventures in Math",1983,"https://www.mobygames.com/game/adventures-in-math",11,56.00
"Adventures of TRON",1983,"https://www.mobygames.com/game/adventures-of-tron",11,62.00
"Alley Cat",1983,"https://www.mobygames.com/game/alley-cat",102,78.00
"Antarctic Adventure",1983,"https://www.mobygames.com/game/antarctic-adventure",23,70.00
"Archon: The Light and the Dark",1983,"https://www.mobygames.com/game/archon-the-light-and-the-dark",89,76.00
"Atic Atac",1983,"https://www.mobygames.com/game/atic-atac",18,74.00
"Aztec Challenge",1983,"https://www.mobygames.com/game/aztec-challenge",13,72.00
"Baseball",1983,"https://www.mobygames.com/game/baseball",44,50.00
"BC's Quest for Tires",1983,"https://www.mobygames.com/game/bcs-quest-for-tires",56,74.00
"Beamrider",1983,"https://www.mobygames.com/game/beamrider",20,66.00
"Big Top",1983,"https://www.mobygames.com/game/big-top",10,68.00
"Binary Land",1983,"https://www.mobygames.com/game/binary-land",12,56.00
"Blue Max",1983,"https://www.mobygames.com/game/blue-max",15,70.00
"Bushido",1983,"https://www.mobygames.com/game/bushido",16,58.00
"Congo Bongo",1983,"https://www.mobygames.com/game/congo-bongo",32,54.00
"Conquest",1983,"https://www.mobygames.com/game/conquest",11,74.00
"Crossbow",1983,"https://www.mobygames.com/game/crossbow",10,58.00
"Crystal Castles",1983,"https://www.mobygames.com/game/crystal-castles",21,78.00
"Deathchase",1983,"https://www.mobygames.com/game/deathchase",16,74.00
"Digger",1983,"https://www.mobygames.com/game/digger",75,76.00
"Dino Eggs",1983,"https://www.mobygames.com/game/dino-eggs",15,80.00
"Dolphin",1983,"https://www.mobygames.com/game/dolphin",10,64.00
"Donkey Kong 3",1983,"https://www.mobygames.com/game/donkey-kong-3",45,64.00
"Donkey Kong Jr. Math",1983,"https://www.mobygames.com/game/donkey-kong-jr-math",10,56.00
"Dracula",1983,"https://www.mobygames.com/game/dracula",11,76.00
"Dragon's Lair",1983,"https://www.mobygames.com/game/dragons-lair",55,74.00
"Elevator Action",1983,"https://www.mobygames.com/game/elevator-action",57,60.00
"Enchanter",1983,"https://www.mobygames.com/game/enchanter",85,64.00
"Enduro",1983,"https://www.mobygames.com/game/enduro",22,66.00
"Exodus: Ultima III",1983,"https://www.mobygames.com/game/exodus-ultima-iii",117,74.00
"Forbidden Forest",1983,"https://www.mobygames.com/game/forbidden-forest",14,78.00
"Frostbite",1983,"https://www.mobygames.com/game/frostbite",16,70.00
"Gyruss",1983,"https://www.mobygames.com/game/gyruss",36,68.00
"Halloween",1983,"https://www.mobygames.com/game/halloween_",14,62.00
"Hard Hat Mack",1983,"https://www.mobygames.com/game/hard-hat-mack",35,68.00
"Infidel",1983,"https://www.mobygames.com/game/infidel",48,68.00
"Jetpac",1983,"https://www.mobygames.com/game/jetpac",28,76.00
"Jr. Pac-Man",1983,"https://www.mobygames.com/game/jr-pac-man",29,72.00
"Jumpman",1983,"https://www.mobygames.com/game/jumpman",54,76.00
"Jumpman Junior",1983,"https://www.mobygames.com/game/jumpman-junior",12,86.00
"Keystone Kapers",1983,"https://www.mobygames.com/game/keystone-kapers",18,72.00
"Lode Runner",1983,"https://www.mobygames.com/game/lode-runner",176,74.00
"Manic Miner",1983,"https://www.mobygames.com/game/manic-miner",35,78.00
"Mappy",1983,"https://www.mobygames.com/game/mappy",19,70.00
"Mario Bros.",1983,"https://www.mobygames.com/game/mario-bros",193,72.00
"Masters of the Universe: The Power of He-Man",1983,"https://www.mobygames.com/game/masters-of-the-universe-the-power-of-he-man",12,56.00
"Moon Bugs",1983,"https://www.mobygames.com/game/moon-bugs",16,74.00
"MotoRace USA",1983,"https://www.mobygames.com/game/motorace-usa",10,64.00
"Mr. Cool",1983,"https://www.mobygames.com/game/mr-cool",15,72.00
"Mr. Do!'s Castle",1983,"https://www.mobygames.com/game/mr-dos-castle",22,70.00
"M.U.L.E.",1983,"https://www.mobygames.com/game/mule",48,72.00
"Murder on the Zinderneuf",1983,"https://www.mobygames.com/game/murder-on-the-zinderneuf",10,74.00
"Oil's Well",1983,"https://www.mobygames.com/game/oils-well_",31,78.00
"Oink!",1983,"https://www.mobygames.com/game/oink",10,62.00
"One-on-One",1983,"https://www.mobygames.com/game/one-on-one",50,68.00
"Pango",1983,"https://www.mobygames.com/game/pango",12,78.00
"Planetfall",1983,"https://www.mobygames.com/game/planetfall",88,78.00
"Pole Position II",1983,"https://www.mobygames.com/game/pole-position-ii",12,76.00
"Seaquest",1983,"https://www.mobygames.com/game/seaquest",13,78.00
"Snoopy and the Red Baron",1983,"https://www.mobygames.com/game/snoopy-and-the-red-baron",10,68.00
"Space Ace",1983,"https://www.mobygames.com/game/space-ace",17,84.00
"Space Shuttle: A Journey into Space",1983,"https://www.mobygames.com/game/space-shuttle-a-journey-into-space",12,70.00
"Spelunker",1983,"https://www.mobygames.com/game/spelunker",18,64.00
"Spy Hunter",1983,"https://www.mobygames.com/game/spy-hunter",76,68.00
"Star Wars",1983,"https://www.mobygames.com/game/star-wars",96,78.00
"Suspended",1983,"https://www.mobygames.com/game/suspended",38,76.00
"Swedish Erotica: Custer's Revenge",1983,"https://www.mobygames.com/game/swedish-erotica-custers-revenge",38,22.00
"SwordQuest: FireWorld",1983,"https://www.mobygames.com/game/swordquest-fireworld",12,32.00
"SwordQuest: WaterWorld",1983,"https://www.mobygames.com/game/swordquest-waterworld",10,30.00
"Tapper",1983,"https://www.mobygames.com/game/tapper",80,76.00
"The Texas Chainsaw Massacre",1983,"https://www.mobygames.com/game/texas-chainsaw-massacre",13,38.00
"Time Bandit",1983,"https://www.mobygames.com/game/time-bandit",14,60.00
"Track & Field",1983,"https://www.mobygames.com/game/track-field",30,70.00
"The Witness",1983,"https://www.mobygames.com/game/witness",34,66.00
"Wizardry: Legacy of Llylgamyn - The Third Scenario",1983,"https://www.mobygames.com/game/wizardry-legacy-of-llylgamyn-the-third-scenario",28,74.00
"Zaxxon",1983,"https://www.mobygames.com/game/zaxxon_",16,68.00
"Zork Trilogy",1983,"https://www.mobygames.com/game/zork-trilogy",10,60.00
"1942",1984,"https://www.mobygames.com/game/1942arcade",120,64.00
"Airwolf",1984,"https://www.mobygames.com/game/airwolf_",11,50.00
"Alien",1984,"https://www.mobygames.com/game/alien_____",11,46.00
"The Ancient Art of War",1984,"https://www.mobygames.com/game/ancient-art-of-war",41,74.00
"Archon II: Adept",1984,"https://www.mobygames.com/game/archon-ii-adept",12,76.00
"B.C. II: Grog's Revenge",1984,"https://www.mobygames.com/game/bc-ii-grogs-revenge",17,74.00
"Below the Root",1984,"https://www.mobygames.com/game/below-the-root",32,72.00
"Beyond Castle Wolfenstein",1984,"https://www.mobygames.com/game/beyond-castle-wolfenstein",45,76.00
"Bomb Jack",1984,"https://www.mobygames.com/game/bomb-jack",63,68.00
"Booty",1984,"https://www.mobygames.com/game/booty",12,72.00
"Boulder Dash",1984,"https://www.mobygames.com/game/boulder-dash",118,72.00
"Bruce Lee",1984,"https://www.mobygames.com/game/bruce-lee",81,76.00
"Championship Lode Runner",1984,"https://www.mobygames.com/game/championship-lode-runner",14,76.00
"Circus Charlie",1984,"https://www.mobygames.com/game/circus-charlie",19,66.00
"Clu Clu Land",1984,"https://www.mobygames.com/game/clu-clu-land",19,56.00
"Cutthroats",1984,"https://www.mobygames.com/game/cutthroats",31,68.00
"Donald Duck's Playground",1984,"https://www.mobygames.com/game/donald-ducks-playground",51,78.00
"Dragon's Lair",1984,"https://www.mobygames.com/game/dragons-lair_____",12,44.00
"Elite",1984,"https://www.mobygames.com/game/elite",105,68.00
"Excitebike",1984,"https://www.mobygames.com/game/excitebike",91,70.00
"F-15 Strike Eagle",1984,"https://www.mobygames.com/game/f-15-strike-eagle",36,66.00
"Flicky",1984,"https://www.mobygames.com/game/flicky",22,70.00
"Frogger II: ThreeeDeep!",1984,"https://www.mobygames.com/game/frogger-ii-threeedeep",28,62.00
"GATO",1984,"https://www.mobygames.com/game/gato",22,72.00
"Ghostbusters",1984,"https://www.mobygames.com/game/ghostbusters",178,68.00
"Golf",1984,"https://www.mobygames.com/game/golf",26,56.00
"H.E.R.O.",1984,"https://www.mobygames.com/game/hero",100,78.00
"The Hitchhiker's Guide to the Galaxy",1984,"https://www.mobygames.com/game/hitchhikers-guide-to-the-galaxy",154,78.00
"Hogan's Alley",1984,"https://www.mobygames.com/game/hogans-alley",30,64.00
"Hole in One",1984,"https://www.mobygames.com/game/hole-in-one_",12,68.00
"The Hulk",1984,"https://www.mobygames.com/game/hulk",36,66.00
"Hydlide",1984,"https://www.mobygames.com/game/hydlide",19,52.00
"Ice Climber",1984,"https://www.mobygames.com/game/ice-climber",53,62.00
"Impossible Mission",1984,"https://www.mobygames.com/game/impossible-mission",17,68.00
"James Bond 007",1984,"https://www.mobygames.com/game/james-bond-007_",11,56.00
"Jet Set Willy",1984,"https://www.mobygames.com/game/jet-set-willy",19,76.00
"Karate Champ",1984,"https://www.mobygames.com/game/karate-champ",27,60.00
"Karateka",1984,"https://www.mobygames.com/game/karateka",117,74.00
"King's Quest",1984,"https://www.mobygames.com/game/kings-quest",180,72.00
"Kung-Fu Master",1984,"https://www.mobygames.com/game/kung-fu-master",57,64.00
"Marble Madness",1984,"https://www.mobygames.com/game/marble-madness",153,72.00
"Montezuma's Revenge",1984,"https://www.mobygames.com/game/montezumas-revenge",58,74.00
"Nuts & Milk",1984,"https://www.mobygames.com/game/nuts-milk",15,70.00
