"Indy Heat","https://www.kultboy.com/testbericht-uebersicht/59/",68,,,55,50,,,,,,,,68,72,,62.60,62.60
"Locomotion","https://www.kultboy.com/testbericht-uebersicht/1420/",74,,,58,,,,,,,,,60,74,,66.50,66.50
"Die Prüfung","https://www.kultboy.com/testbericht-uebersicht/3419/",70,,,,,,,,,,,,70,,,70.00,
"The Shoe People","https://www.kultboy.com/testbericht-uebersicht/3423/",80,,,,,,,,,,,,,,,80.00,
"Super Cars","https://www.kultboy.com/testbericht-uebersicht/783/",86,,,86,8,,,,,,,,58,41,80,55.80,55.80
"Lettrix","https://www.kultboy.com/testbericht-uebersicht/3516/",75,,,75,75,,,,,,,,,38,,65.75,65.75
"Ninja Remix (8bit)","https://www.kultboy.com/testbericht-uebersicht/281/",80,,,,83,,,,,,,,,,,81.50,
"B.A.T.: The Bureau of Astral Troubleshooters","https://www.kultboy.com/testbericht-uebersicht/1130/",74,,,81,58,,,,,,,,74,76,,72.60,72.60
"Exile","https://www.kultboy.com/testbericht-uebersicht/1489/",80,,,80,75,,,,,,,,,80,,78.75,78.75
"The Second World","https://www.kultboy.com/testbericht-uebersicht/3659/",74,,,74,83,,,,,,,,,31,,65.50,65.50
"Shadow Dancer","https://www.kultboy.com/testbericht-uebersicht/76/",68,,,68,25,,,,,,,,,,64,53.67,53.67
"SWIV","https://www.kultboy.com/testbericht-uebersicht/554/",70,,,86,75,,,,,,,,85,70,79,77.20,77.20
"Welltris","https://www.kultboy.com/testbericht-uebersicht/1688/",64,,,,83,,,,,,,,,61,,69.33,69.33
"Supremacy: Your will be done","https://www.kultboy.com/testbericht-uebersicht/1792/",73,,,83,66,,,,,,,,,73,85,73.75,73.75
"Swap","https://www.kultboy.com/testbericht-uebersicht/3899/",80,,,57,75,,,,,,61,,,,,68.25,68.25
"Logical","https://www.kultboy.com/testbericht-uebersicht/677/",79,,,85,75,,,,58,,,,,79,80,75.20,75.20
"Starglider","https://www.kultboy.com/testbericht-uebersicht/1618/",76,,,,100,76,,,,,,,,,,84.00,84.00
"Paperboy","https://www.kultboy.com/testbericht-uebersicht/1098/",64,,,80,41,67,,,,,,,75,33,62,60.00,60.00
"Might and Magic II: Gates to Another World","https://www.kultboy.com/testbericht-uebersicht/311/",67,,,61,66,,57,,,,,,,82,88,66.60,66.60
"Power Drift","https://www.kultboy.com/testbericht-uebersicht/1394/",77,,,79,75,,,,,,,,,59,73,72.50,72.50
"Presumed Guilty!","https://www.kultboy.com/testbericht-uebersicht/3062/",80,,,,91,,,,,,,,,,,85.50,
"Rainbow Warrior","https://www.kultboy.com/testbericht-uebersicht/4128/",73,,,73,66,,,,,,,,,39,,62.75,62.75
"Secret of the Silver Blades","https://www.kultboy.com/testbericht-uebersicht/961/",65,,,56,83,,,,,,,,,76,,70.00,70.00
"Ski or Die","https://www.kultboy.com/testbericht-uebersicht/508/",72,,,75,83,,,,,,,,,72,75,75.50,75.50
"Space Rogue","https://www.kultboy.com/testbericht-uebersicht/4880/",69,,,79,33,,,,,,,,,69,,62.50,62.50
"Circus Attractions","https://www.kultboy.com/testbericht-uebersicht/2131/",77,,,,50,,,,,,,,,77,,68.00,68.00
"Berania: Erstes Buch: Der Kampf","https://www.kultboy.com/testbericht-uebersicht/7850/",73,,,,,,,,,,,,73,,,73.00,
"Rambo: First Blood Part II","https://www.kultboy.com/testbericht-uebersicht/992/",46,,,,40,,,,,,,,,55,62,47.00,47.00
"Death Knights of Krynn","https://www.kultboy.com/testbericht-uebersicht/955/",66,,,55,83,,,,,,,,,76,83,70.00,70.00
"Ugh!","https://www.kultboy.com/testbericht-uebersicht/258/",68,,,,66,,,,,,,,74,68,,69.00,69.00
"Winter Camp","https://www.kultboy.com/testbericht-uebersicht/3231/",70,,,56,,,,,,,,,,,,63.00,
"Wozzle","https://www.kultboy.com/testbericht-uebersicht/3232/",70,,,,,,,,,,,,,,,70.00,
"Sim City","https://www.kultboy.com/testbericht-uebersicht/358/",79,,82,79,66,,,,,,,84,80,39,85,72.71,72.71
"Midnight Resistance","https://www.kultboy.com/testbericht-uebersicht/457/",68,,,85,83,,,,,,,,,56,81,73.00,73.00
"Street Fighter II: The World Warrior","https://www.kultboy.com/testbericht-uebersicht/569/",68,,,80,66,,,,77,,,39,68,19,85,59.57,59.57
"Die Erben des Throns","https://www.kultboy.com/testbericht-uebersicht/184/",67,,,61,,,,,,,,67,74,70,,67.80,67.80
"Stone Age","https://www.kultboy.com/testbericht-uebersicht/3415/",66,,,66,75,,,,,,46,,,61,,62.80,62.80
"Synopsis","https://www.kultboy.com/testbericht-uebersicht/3417/",70,,,,,,,,,,,,,,,70.00,
"Stratego","https://www.kultboy.com/testbericht-uebersicht/1024/",66,,,66,66,,,,,,,,,42,,60.00,60.00
"Kunst aus China","https://www.kultboy.com/testbericht-uebersicht/3420/",70,,,,,,,,,,,,,,,70.00,
"The Amazing Spider-Man","https://www.kultboy.com/testbericht-uebersicht/2992/",70,,,18,25,,,,,,,,,42,60,38.75,38.75
"Atomix","https://www.kultboy.com/testbericht-uebersicht/1709/",76,,,79,83,,,,,,,,,76,81,78.50,78.50
"Creatures","https://www.kultboy.com/testbericht-uebersicht/2296/",70,,78,70,58,,,,,,,,,,65,69.00,69.00
"Golden Axe","https://www.kultboy.com/testbericht-uebersicht/182/",66,,,56,41,,,,,,,,,41,72,51.00,51.00
"Loopz","https://www.kultboy.com/testbericht-uebersicht/944/",69,,,86,83,,,,,,,,,75,,78.25,78.25
"Cubulus","https://www.kultboy.com/testbericht-uebersicht/1961/",70,,,63,66,,,,,,,,,,,66.33,66.33
